Date,Price,Open,High,Low,Change %,diff_1,label,sma,ema,cma,macd,macd_s,macd_h,roc,rsi,Bollinger_up,Bollinger_down,cci,diff_n,Momentum
2013-01-01,1.3205,1.3194,1.322,1.318,0.07%,,1.0,,1.3205,1.3205,,,,,,,,,-0.0121999999999999,
2013-01-02,1.3186,1.3205,1.3302,1.3157,-0.14%,-0.0019,1.0,,1.3189562499999998,1.31955,,,,,0.0,,,,-0.0121999999999999,
2013-01-03,1.3048,1.3187,1.3192,1.3046,-1.05%,-0.0138,2.0,,1.3079313364055298,1.314633333333333,,,,,0.0,,,,0.0222999999999999,
2013-01-04,1.3069,1.3048,1.3091,1.2999,0.16%,0.0020999999999999,2.0,,1.3071357443820222,1.3127,,,,,13.559662515066208,,,,0.0275,
2013-01-07,1.3117,1.3072,1.3121,1.3018,0.37%,0.0048000000000001,2.0,,1.3106490095674437,1.3125,,,,,36.32938643702945,,,,0.0265999999999999,99.33358576296858
2013-01-08,1.3083,1.3116,1.3142,1.3058,-0.26%,-0.0034,2.0,,1.3088418061863871,1.3118,,,,-0.0092389246497538,29.893557414897245,,,,0.0221,99.21886849689065
2013-01-09,1.3064,1.3081,1.3096,1.3037,-0.15%,-0.0019,2.0,,1.3069634282674385,1.3110285714285712,,,,-0.0092522372212953,26.828963594514533,,,,0.0225999999999999,100.12262415695892
2013-01-10,1.3271,1.3065,1.3273,1.3039,1.58%,0.0206999999999999,2.0,,1.3224532234168471,1.3130375,,,,0.0170907418761495,68.0297706934255,,,,0.0105999999999999,101.54564235978269
2013-01-11,1.3344,1.3272,1.3366,1.3248,0.55%,0.0073,0.0,,1.3316430686149958,1.315411111111111,,,,0.0210421608386258,73.9893783618424,,,,-0.0024999999999999,101.73057863840818
2013-01-14,1.3383,1.334,1.3404,1.3334,0.29%,0.0039,1.0,,1.336763787258359,1.3177,,,,0.0202790272165891,76.67022584601963,,,,-0.0069000000000001,102.29305205228158
