,Date,sma,ema,cma,macd,macd_s,macd_h,roc,rsi,Bollinger_up,Bollinger_down,cci,label,label_3days,label_5days
0,2013-02-15,1.8439265370816076,1.7656296064467778,1.700053577117719,0.5694933678843584,1.1041448089870722,-1.5621181047518609,0.015642776577765964,-0.5583057425028413,1.8683637981848442,1.801523239686339,-0.6504176265667411,0.0,1.0,0.0
1,2013-02-18,1.8460503238010562,1.752463679762898,1.6999968346366048,0.4330378316606744,0.9745976760376683,-1.6097561399527023,-0.36088872325020555,-0.6437585690204053,1.8651378030130596,1.8088908809449784,-0.7165593538009118,0.0,1.0,1.0
2,2013-02-19,1.8497948951221905,1.7804062790665531,1.7016746176573254,0.3717160055566417,0.8579464389730606,-1.448553022323758,-0.4374078372701037,-0.20379279443598983,1.8607414669904727,1.8206100635173714,-0.5831335016814206,2.0,0.0,0.0
3,2013-02-20,1.8477269975269384,1.6947724812628904,1.6982547657534062,0.17405724103168443,0.7226789098149912,-1.681263052783847,-1.188019624128882,-1.0097302601427696,1.8657896550879063,1.81155944536321,-0.9663489121534099,1.0,1.0,2.0
4,2013-02-21,1.8372757313022774,1.5958374498639192,1.6908231605538124,-0.10761661415330166,0.5546889209611072,-2.0903050120691473,-1.1964058533048545,-1.460476107866242,1.8904499589859065,1.766657116344068,-1.6511177751725146,1.0,0.0,1.0
5,2013-02-22,1.822073889520957,1.5738668690517625,1.6838170574962918,-0.3245000196449475,0.3742705957632572,-2.245663475218309,-1.2033509217611846,-1.447701728230114,1.9049495559122107,1.722375882642829,-1.490924637943589,0.0,2.0,1.0
6,2013-02-25,1.800053574587717,1.4586424591893585,1.6716208655379565,-0.6648721371362649,0.15770320407121935,-2.6975391936872684,-2.0391009164157436,-1.916449263417091,1.9372288642076823,1.6471357137780689,-1.5067781318137277,1.0,1.0,0.0
7,2013-02-26,1.7759653620592226,1.4320522107595761,1.6600196097727096,-0.9227636578835183,-0.07027966040876557,-2.8402365153057985,-2.2896880170549236,-1.916449263417091,1.9519532187530413,1.5850898324393574,-1.5761806021564675,0.0,1.0,2.0
8,2013-02-27,1.7519889277791234,1.4921806811367486,1.652144978851452,-1.0076094295073545,-0.27067166259167075,-2.4953412819614798,-0.9886140891825239,-0.9542888256100831,1.9346762727761222,1.5547587368207216,-1.1848492273975464,2.0,0.0,1.0
9,2013-02-28,1.7227589158245942,1.4346283187602638,1.6412946570249562,-1.175101303377388,-0.4665298784165578,-2.4386673988824747,-0.9307148613433017,-1.3554951740905274,1.9178052856169276,1.5136565157404143,-1.126254750831482,1.0,2.0,2.0
10,2013-03-01,1.6882194370714414,1.3920872748486617,1.6295996523992038,-1.3383086713062724,-0.6578518203858778,-2.381962421231428,-1.1834156869075052,-1.4968288177991895,1.8800055968302631,1.4826693614030493,-1.2627676593591173,1.0,1.0,1.0
11,2013-03-04,1.6609455444637766,1.3857124319887084,1.6185783255916406,-1.4442416566805174,-0.8333901486778618,-2.184661841653852,-0.2326457116533154,-1.444836869079185,1.8611825355290306,1.4473500423361891,-1.189591470395373,0.0,2.0,2.0
12,2013-03-05,1.631156641267286,1.405755821403459,1.6089771505701533,-1.475325628366933,-0.9804173568756827,-1.8282630704995007,-0.050323790819308774,-1.1012079255077145,1.8141066136353245,1.434870677580186,-0.9445932754058664,2.0,1.0,0.0
13,2013-03-06,1.600082288214288,1.338092475448042,1.5966901671685327,-1.5967362732745245,-1.1238045197994968,-1.7827612572309228,-1.2171258033085677,-1.5402710924638776,1.7821994977496585,1.4049251844547757,-1.0465275421983689,1.0,2.0,1.0
14,2013-03-07,1.5838744421974345,1.4420985160585063,1.589928909465049,-1.4820357973592133,-1.2141728653487123,-1.1200078719568047,0.3947092713105655,-0.11985447242821684,1.75999161443517,1.3947836046176372,-0.6706901633896805,2.0,0.0,2.0
15,2013-03-08,1.5638102466110564,1.3800418820542646,1.579910206888681,-1.5110704047509365,-1.2926291775189294,-0.9711033727925789,-0.08714660235312639,-0.7063683430884191,1.7450022952356947,1.3699246711257607,-0.736007790901946,1.0,1.0,2.0
16,2013-03-11,1.543578383652089,1.3992837512775713,1.5716427234659667,-1.4619656393688092,-1.344973363874706,-0.6446928522040046,0.16884546579781443,-0.38371840512703875,1.7148420865248497,1.359665175875317,-0.6885394782533344,2.0,2.0,1.0
17,2013-03-12,1.520104951489755,1.394257799557757,1.5633260216566935,-1.4206970909914645,-1.3780908276257724,-0.4043522311756622,-0.0941855471047196,-0.45370875466807586,1.6675515228422213,1.3598650390959066,-0.5876953539611607,0.0,2.0,1.0
18,2013-03-13,1.4926075023853023,1.3302756041118635,1.552898611467969,-1.4709745125246005,-1.4152545195149733,-0.4549314694336594,-0.014179985027987778,-0.8893142377488986,1.615722518041967,1.356587209121159,-0.7937695979548804,1.0,1.0,2.0
19,2013-03-14,1.4727109741715134,1.35337601440205,1.5443020548380386,-1.432120218355589,-1.43673993334956,-0.25894762123584497,-0.7042098273960359,-0.46285106135524756,1.5778785311651247,1.354551729249802,-0.7275311978375493,2.0,1.0,1.0
20,2013-03-15,1.456670795527249,1.4198080781889737,1.538300324251183,-1.2868878279581093,-1.4231074899575034,0.1800376280220705,0.5425973010503298,0.13435094924083685,1.5322225939799086,1.3678175846757274,-0.21275203833436893,2.0,2.0,2.0
21,2013-03-18,1.4345387023456189,1.331868920857963,1.5287392970126947,-1.3216240981503766,-1.419573160445615,0.053807744173518926,-0.6200140345419161,-0.6357370872834032,1.484500776011643,1.3710899355077313,-0.8953273662416836,1.0,1.0,1.0
