,Date,sma,ema,cma,macd,macd_s,macd_h,roc,rsi,Bollinger_up,Bollinger_down,cci,label,label_3days,label_5days
0,2013-02-15,0.8818175079682748,0.8408320127840283,0.9515572426155448,0.6827325693420574,0.7703948210672013,0.27457613716954843,0.4952290058092861,0.39745094125985864,0.9015175373073845,0.850195744373222,0.34443048590287095,0.0,1.0,0.0
1,2013-02-18,0.8823808464902525,0.8375050746126189,0.9515371217528958,0.6620014687163336,0.7500147247566349,0.2679545331873315,0.4543365401154914,0.3814485072056258,0.9006655555899394,0.8521084553309648,0.33150425864808153,0.0,1.0,1.0
2,2013-02-19,0.8833741012526866,0.844565975258948,0.9521320629865855,0.6526851083641092,0.7316633850395919,0.29036148597489647,0.4460263316829755,0.46383926688938504,0.8995044881625134,0.8551508685179159,0.35757997451280793,2.0,0.0,0.0
3,2013-02-20,0.8828255874286559,0.8229269096985581,0.9509193847763342,0.6226556654384221,0.710383367418434,0.2580151967566302,0.3645076094578653,0.3129143452408606,0.9008377089939819,0.8528012404741352,0.2826873206551202,1.0,1.0,2.0
4,2013-02-21,0.8800533689126078,0.7979267148506075,0.9482841403429703,0.5798621724290708,0.6839555177693778,0.2011590763251656,0.3635968394717276,0.22850484122133485,0.9073504676774133,0.8411441613998267,0.14886139395909365,1.0,0.0,1.0
5,2013-02-22,0.8760210510710844,0.7923749017722699,0.9457997788105637,0.5469120127820004,0.6555724670602636,0.17956452033807419,0.3628425839214714,0.2308970519420518,0.9111797950116838,0.8296483246795705,0.180168300855365,0.0,2.0,1.0
6,2013-02-25,0.8701801200800534,0.7632584941958309,0.9414750136887289,0.49520074614393433,0.6215025173830624,0.11675458192927135,0.2720775934741521,0.14311643864224455,0.9197047242366452,0.8101152488418579,0.17707001671436734,1.0,1.0,0.0
7,2013-02-26,0.8637906752649913,0.7565393232166535,0.9373612127191784,0.4560204005523253,0.5856367083182212,0.09691990257909794,0.24486307245565347,0.14311643864224455,0.9235934098067764,0.7940075377097204,0.16350653506355006,0.0,1.0,2.0
8,2013-02-27,0.8574308798458232,0.7717333697953275,0.9345688715300664,0.44313014869535705,0.5541114386239092,0.1448597397476986,0.3861636568288614,0.32329665716823763,0.9190305876939693,0.786133291812896,0.23998531016650268,2.0,0.0,1.0
9,2013-02-28,0.8496775628196578,0.7571902878047863,0.9307213514552597,0.4176838312553759,0.5232994151475898,0.15273731085871312,0.392451689009952,0.2481642315324601,0.9145749788509647,0.7754627575281687,0.25143656116402857,1.0,2.0,2.0
10,2013-03-01,0.840515899488548,0.7464404616634632,0.9265743071747217,0.39288844030951564,0.49320102921741094,0.1606192040611235,0.3650076110379923,0.2216972039891706,0.9045921233113656,0.7674181924401422,0.2247575348877257,1.0,1.0,1.0
11,2013-03-04,0.8332814468905201,0.7448295831771441,0.9226661487973757,0.376794499087689,0.4655856898784563,0.18804364123441653,0.4682641210870454,0.23143354349541168,0.899620973870328,0.7582489554716636,0.23905852289845458,0.0,2.0,2.0
12,2013-03-05,0.8253798828848864,0.7498944083831058,0.9192615757139571,0.3720720454393307,0.44245566302934347,0.23758245013750118,0.4880648360241427,0.2957836619493392,0.8871882755401739,0.7550091916345618,0.2869390739193759,2.0,1.0,0.0
13,2013-03-06,0.817137350826477,0.7327963511122886,0.9149046159801806,0.35362665021192585,0.4198982808352695,0.24390712298907982,0.36134658990405244,0.2135619302502188,0.8787616419144433,0.7472350518759479,0.26701782975613764,1.0,2.0,1.0
14,2013-03-07,0.8128381884219107,0.7590779547450794,0.9125070765190397,0.3710525984279134,0.40568171313678664,0.33602869006583,0.5363967796571847,0.47955808529823274,0.8728965647647335,0.7446021996234613,0.3404685782091599,2.0,0.0,2.0
15,2013-03-08,0.8075161218590168,0.7433966746183502,0.9089544483203085,0.36664149585103073,0.39333912274672855,0.3567261562916926,0.4840657667348969,0.36972380690600637,0.8689379023257429,0.7381485799616785,0.3277034066257508,1.0,1.0,2.0
16,2013-03-11,0.8021495812022823,0.7482589612424029,0.9060228017806313,0.3741017709011445,0.38510443985609594,0.4020966505586067,0.5118672836585236,0.4301452647470535,0.8609726249314287,0.735485115726985,0.33698024626020706,2.0,2.0,1.0
17,2013-03-12,0.7959232080646359,0.7469889381725658,0.9030737024194266,0.38037152332574264,0.37989446657886383,0.43550357858534594,0.48330131593355213,0.4170384314378833,0.8484832399448399,0.7355370021528644,0.3566884414105361,0.0,2.0,1.0
18,2013-03-13,0.78862945667482,0.7308210820519521,0.8993761466537169,0.3727330916882253,0.37404794876936553,0.42847315249714446,0.4919901632252933,0.33546420738070315,0.8347952577341329,0.7346860457761588,0.3164148861132748,1.0,1.0,2.0
19,2013-03-14,0.7833518642057671,0.736658395187209,0.896327810877434,0.37863605689176866,0.3706679063612308,0.4557145663003304,0.4170508243662027,0.41532638555447454,0.8248007031184534,0.7341576155068856,0.32936000636813184,2.0,1.0,1.0
20,2013-03-15,0.7790971758950409,0.753445316011311,0.894199599448708,0.4007005870879571,0.3728125351380558,0.5167327519237668,0.5524578693280865,0.5271621922922988,0.8127430211619338,0.737601559931738,0.4299644610750521,2.0,2.0,2.0
21,2013-03-18,0.7732265955081168,0.7312237021203316,0.890809262754173,0.39542325549228063,0.37336854880046305,0.4991870177631859,0.42619474346041386,0.38295066035543673,0.8001397424007521,0.7384510938699731,0.29656722190401213,1.0,1.0,1.0
