Date,Open,High,Low,Price,Volume,Complete,Bid_c,Ask_c,sma,ema,cma,macd,macd_s,macd_h,roc,rsi,Bollinger_up,Bollinger_down,cci,Momentum,Bollinger,price_sma,price_ema
2020-01-19 22:00:00,1.1093,1.11026,1.10766,1.1095,22822,True,1.10937,1.10962,,1.1095,1.1095,,,,,,,,,,,,0.0
2020-01-20 22:00:00,1.10945,1.1118,1.10811,1.10822,38986,True,1.10812,1.10833,,1.10846,1.10886,,,,,0.0,,,,,,,-0.00024000000000001798
2020-01-21 22:00:00,1.10867,1.10984,1.10702,1.10936,41211,True,1.10912,1.10959,,1.1091609216589862,1.1090266666666666,,,,,50.68168346176569,,,,,,,0.00019907834101373645
2020-01-22 22:00:00,1.10932,1.11088,1.10364,1.10563,58325,True,1.10513,1.10613,,1.1064371032303368,1.1081775,,,,,17.396135757157452,,,,,,,-0.0008071032303369474
2020-01-23 22:00:00,1.10558,1.10618,1.10198,1.10252,46040,True,1.10222,1.10282,,1.1034219735884652,1.107046,,,,,10.660470345897537,,,,99.37088778729158,,,-0.0009019735884652214
2020-01-26 22:00:00,1.10342,1.10376,1.10098,1.10188,42617,True,1.10177,1.102,,1.1022356608883401,1.106185,,,,-0.006867958539882794,9.762889487022832,,,,99.42791142552923,,,-0.0003556608883401591
2020-01-27 22:00:00,1.10188,1.10254,1.0998,1.10221,37630,True,1.10213,1.10229,,1.1022159210554625,1.1056171428571429,,,,-0.005423110934652029,14.067525235127789,,,,99.35548424316724,,,-5.921055462598801e-06
2020-01-28 22:00:00,1.10223,1.10277,1.09924,1.10111,38930,True,1.10091,1.10131,,1.101365205708876,1.10505375,,,,-0.0074367202711472105,11.886622275104614,,,,99.59118330725471,,,-0.00025520570887604954
2020-01-29 22:00:00,1.10106,1.10394,1.10069,1.10316,47467,True,1.103,1.10333,,1.1027458192646036,1.1048433333333334,,,,-0.002234020422745378,33.91682990013982,,,,100.05804883358125,,,0.00041418073539634115
2020-01-30 22:00:00,1.1032,1.10956,1.10171,1.10945,51966,True,1.10904,1.10986,,1.1079028835776827,1.1053039999999998,,,,0.006285600261219845,64.94557756371722,,,,100.68700765963628,,,0.0015471164223173073
2020-02-02 22:00:00,1.10956,1.10956,1.10355,1.10607,52067,True,1.10557,1.10657,,1.106492972993948,1.1053736363636364,,,,0.0038025919337860187,50.30133661282875,,,,100.35020549623033,,,-0.0004229729939480009
2020-02-03 22:00:00,1.10602,1.10642,1.1033,1.10444,46425,True,1.10434,1.10453,,1.104913762962581,1.1052958333333334,,,,0.0020232079186363544,44.693670854847326,,,,100.30242210133412,,,-0.00047376296258083705
2020-02-04 22:00:00,1.10446,1.1048,1.09937,1.09987,50768,True,1.09975,1.09999,,1.1010339452786337,1.1048784615384615,,,,-0.001126136353316317,32.84743131606946,,,,99.70176583632474,,,-0.0011639452786338378
2020-02-05 22:00:00,1.09984,1.1014,1.09646,1.09816,45243,True,1.09802,1.09831,,1.0988232181385378,1.1043985714285713,,,,-0.0045324340984081125,29.4744912903097,,,,98.98237865609086,,,-0.0006632181385377578
